@relation doc-subject

@attribute Subject0 numeric
@attribute Subject1 numeric
@attribute Subject2 numeric
@attribute Subject3 numeric
@attribute Subject4 numeric
@attribute Subject5 numeric
@attribute Subject6 numeric
@attribute Subject7 numeric
@attribute Subject8 numeric
@attribute Subject9 numeric
@attribute Subject10 numeric
@attribute Subject11 numeric
@attribute Subject12 numeric
@attribute Subject13 numeric
@attribute Subject14 numeric

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0.011402,0
0,0,0,0,0.006063,0,0.002366,0,0,0,0,0,0,0,0.011837
0,0,0.002276,0,0,0,0,0.00024,0,0,0,0,0,0.005143,0
0,0,0,0,0,0,0,0,0.003261,0,0,0,0,0,0
0,0,0.008801,0,0,0,0,0,0,0,0,0,0.005793,0,0
0.000088,0,0,0,0.002398,0,0,0,0,0,0.021424,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.003373,0,0,0,0.003964,0,0,0,0.025393,0,0.004696,0
0,0,0,0,0,0,0,0.033155,0.00964,0,0,0.00492,0,0,0
0,0,0,0,0,0.025036,0,0,0,0,0,0,0,0,0.002268
0,0,0,0,0,0,0,0,0,0,0,0,0.004148,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001587,0.003733,0,0,0,0.000435,0,0,0.027843,0,0,0,0,0,0.000003
0.008096,0,0,0,0,0,0,0,0,0,0,0.007935,0,0.006772,0
0,0,0,0,0.056361,0,0.004163,0,0.001257,0,0,0.003698,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.000165,0,0,0,0,0,0.035625,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.008052,0,0,0,0
0,0,0,0,0,0,0,0,0.017297,0,0,0,0,0,0
0.000009,0,0,0,0,0,0,0.001909,0.000006,0,0.009965,0,0,0,0
0,0,0.008923,0,0,0,0,0,0.002893,0,0.003769,0.001502,0,0.002563,0.002646
0,0,0,0,0.015189,0,0.026771,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.010658,0,0,0,0,0,0,0,0.002218,0,0.004804,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.004063,0,0.016728,0,0,0,0,0.000171,0,0,0.004493,0,0,0
0,0,0.017509,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.004207,0.00275,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.008373,0,0,0,0,0,0,0
0,0.087592,0,0,0,0,0,0.000033,0,0.001715,0,0.001997,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.000001,0.002032,0,0
0,0,0,0,0,0,0,0,0,0,0.003164,0,0,0,0.0143
0,0.004486,0,0,0,0,0,0.005046,0,0,0,0,0.002305,0,0
0,0,0,0.004769,0.007597,0.000137,0,0,0,0,0,0.018227,0.000025,0.001969,0
0.003817,0,0,0,0,0.010476,0,0,0,0,0,0,0,0,0.006066
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007162
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010713,0.001137,0,0.036522,0.000004,0.002213,0,0,0,0,0,0,0,0,0.001263
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.003028,0,0,0,0
0,0,0,0.002404,0,0,0,0.002962,0,0,0,0.023218,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.023991,0
0,0,0,0,0,0,0,0,0,0,0.011438,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.01069,0,0.002683,0.005323,0,0.002594,0.001479,0.000004,0,0,0.00504,0.0016,0,0
0,0,0,0,0,0.007344,0,0,0,0.004702,0.002341,0,0,0.000328,0.002343
0,0,0,0.002052,0,0,0,0,0,0.004136,0,0,0,0,0
0.034617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.005582,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006276
0,0.013986,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.006355,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.002173,0,0.002801,0,0,0,0,0,0,0
0,0,0.008141,0,0,0,0,0,0,0,0,0,0,0,0
0.017304,0,0.004095,0,0,0,0,0,0,0.002811,0,0,0,0,0
0,0,0,0,0,0,0,0,0.024308,0,0,0,0,0,0
0,0,0,0,0,0,0,0.004723,0,0,0,0,0,0,0
0,0,0,0,0.002417,0,0,0,0,0,0,0,0,0.009612,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016524
0,0,0,0.00005,0,0,0,0.002239,0.070624,0,0,0,0,0.000003,0
0.003245,0,0.000101,0,0,0,0.009578,0.033311,0,0,0,0.003072,0,0,0
0,0,0,0.000135,0,0,0,0,0.021511,0,0,0,0,0.003626,0
