@relation doc-subject

@attribute Subject0 numeric
@attribute Subject1 numeric
@attribute Subject2 numeric
@attribute Subject3 numeric
@attribute Subject4 numeric
@attribute Subject5 numeric
@attribute Subject6 numeric
@attribute Subject7 numeric
@attribute Subject8 numeric
@attribute Subject9 numeric
@attribute Subject10 numeric
@attribute Subject11 numeric
@attribute Subject12 numeric
@attribute Subject13 numeric
@attribute Subject14 numeric

@data
0.764156,0,0,0.000001,0,0,0.088254,0,0.048028,0.084298,0,0,0.015261,0,0.000001
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.999953,0,0,0,0,0,0.000047,0,0,0,0,0,0,0
0.000281,0.000032,0.008861,0,0,0.958098,0,0.000005,0.000001,0.014829,0.017822,0,0.000004,0,0.000066
0,0.525246,0,0,0,0,0,0,0.000023,0.474713,0,0,0,0,0.000017
0.012167,0,0.062543,0.000001,0,0.000003,0,0,0.001547,0.690352,0.000464,0,0.232802,0,0.000121
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.00025,0,0.999704,0.000002,0.000002,0,0,0.000002,0.000011,0.000014,0,0,0,0.000013,0
0,0,0.000107,0,0.000007,0.068677,0.000147,0,0,0.000004,0,0.000053,0,0.912379,0.018626
0,0,0,0,0,0,0,0.000015,0,0,0.999985,0,0,0,0
0,0.00938,0,0,0,0,0,0,0,0.127019,0,0,0,0,0.863601
0.052364,0.000099,0.30644,0.000044,0.434948,0,0,0,0.000498,0.076231,0.00025,0.129094,0.000002,0.000013,0.000017
0.681755,0,0,0,0,0,0.308566,0,0.000123,0,0,0.009541,0.000015,0,0
0,0,0,0.000025,0,0.000001,0,0,0.856427,0.143534,0,0,0.000012,0.000001,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.00007,0,0.998947,0,0,0,0,0,0,0,0,0,0.000983,0,0
0,0.000003,0,0,0,0,0.000241,0,0,0,0.000062,0,0,0.999693,0
0,0,0,0,0,0,0.999998,0,0,0,0,0,0.000002,0,0
0.003467,0,0,0,0,0,0,0,0,0,0.996532,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.000033,0.000081,0.000002,0.000001,0.002099,0.156931,0,0.326341,0.264692,0.00001,0.249019,0.000782,0,0.000006,0.000004
0,0.000185,0.106348,0.001165,0.00022,0.000004,0.823369,0.068557,0.000001,0.000001,0,0.000044,0,0.000106,0
0.00013,0,0,0,0,0,0.803821,0,0.196049,0,0,0,0,0,0
0.000043,0.466324,0.369116,0.000008,0.000006,0.029381,0,0.008564,0,0,0,0.071084,0.055473,0,0
0,0,0,0,0,0,0,0,0,0,0.999999,0,0,0,0
0.147425,0,0,0,0,0,0.048515,0,0.79396,0.000024,0,0,0.010076,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.034677,0,0.000297,0.009625,0,0,0.000015,0,0.192635,0.76275,0,0,0.000001,0,0
0,0.00199,0,0,0.000001,0,0,0.000072,0,0,0.997935,0,0,0.000002,0
0.000455,0.00001,0.000097,0.000001,0.00001,0.144235,0.000006,0.854529,0.000141,0,0.000089,0.000427,0,0.000001,0
0.002876,0.027783,0.01016,0.00117,0.02637,0.030835,0.000396,0.264923,0.01054,0.000046,0.019123,0.103714,0,0.494282,0.007781
0,0,0,0,0,0,0,0.000106,0,0,0,0,0,0,0.999894
0.060972,0,0,0.000002,0,0.000002,0.000053,0,0.002437,0,0,0,0,0,0.936534
0,0.999843,0.000001,0,0,0,0,0,0,0,0.000156,0,0,0,0
0,0,0,0,0,0,0.964522,0,0.028245,0.007201,0,0,0.00001,0,0.000022
0.000001,0,0,0.000104,0,0,0,0,0.000006,0.114298,0,0.885591,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.002793,0.000001,0,0.000001,0,0,0.997205,0,0,0,0
0,0,0.000004,0,0.999864,0.000001,0,0.000131,0,0,0,0,0,0,0
0,0,0,0.000013,0,0.000012,0.994698,0,0,0,0,0,0,0,0.005277
0,0.007772,0,0.000105,0,0,0,0.000774,0,0.078397,0.80019,0,0.019871,0.000034,0.092856
0.000004,0,0.009435,0,0.000001,0.990067,0,0,0,0.000001,0,0,0.000004,0,0.000488
0,0,0,0,0,0,0.97255,0,0,0,0,0,0.02745,0,0
0,0,0,0,0,0,0,0,0,0.000001,0,0,0.999999,0,0
0,0,0,0.000321,0,0,0,0,0.049097,0.950577,0.000001,0,0.000003,0,0
0,0,0,0.000001,0.000109,0,0,0,0,0,0,0,0,0,0.99989
0,0,0,0.000001,0.000003,0.000004,0.881601,0,0,0.000006,0,0,0,0,0.118385
0.074333,0,0.081927,0,0,0.000001,0,0,0.187774,0.333082,0.039982,0,0.282289,0,0.000611
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.00052,0,0.033834,0.399669,0.026182,0.085405,0,0.025083,0,0.403213,0.003804,0.000034,0,0.000306,0.02195
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.000013,0,0,0,0.012217,0,0,0.000001,0,0.00012,0,0,0,0,0.987648
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0.999759,0,0,0,0,0.000001,0.00024,0
0.936107,0,0,0.042716,0.000002,0.000328,0,0,0.000003,0.007086,0,0,0,0,0.013758
0,0,0,0,0.999908,0,0,0,0,0,0,0,0,0,0.000091
0,0,0.000001,0.816202,0.095147,0.00001,0,0.002702,0.000001,0,0,0.000001,0,0.083609,0.002326
0.004527,0.000859,0.000059,0.001003,0.153417,0.000017,0.000003,0.125554,0.000528,0.000022,0,0.013644,0.000559,0.014494,0.685313
0.045936,0.000414,0.000002,0,0,0.000002,0,0.001879,0,0.002191,0.000012,0,0.014032,0.902902,0.03263
0,0,0,0.00002,0,0,0,0,0,0,0,0,0,0.99998,0
0.000008,0,0.728941,0,0,0,0,0,0.000033,0.04335,0.000005,0,0.227663,0,0
0.018525,0.001672,0.059109,0.038369,0.000014,0.000218,0.000003,0.000404,0,0.073434,0.000582,0.80129,0.006218,0.000126,0.000037
0,0.000001,0,0.99256,0,0,0,0,0,0,0,0,0.007419,0.000019,0
0.008688,0.463698,0,0.037935,0.002766,0.000004,0.434186,0.051796,0.000285,0,0,0,0.000008,0.000171,0.000463
0,0,0,0.021412,0.000344,0.975696,0,0,0,0,0,0,0,0,0.002548
0,0,0,0.000007,0.095011,0.000061,0,0,0,0.000312,0,0,0.87582,0.00214,0.02665
0.013364,0,0.000004,0.000105,0,0,0.380111,0,0.067422,0.055382,0,0,0.000065,0,0.483547
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0.033233,0,0.966766,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.000058,0.981529,0.007631,0.000063,0.000002,0.000355,0,0.003831,0.000005,0.000127,0.000013,0.000319,0.000049,0.001643,0.004376
